Feature,Importance
overall_survival_months,0.15043174706345838
epcam,0.10306332601082678
age_at_diagnosis,0.09007657492283981
radio_therapy,0.08027621194643324
chek2,0.05435116756496426
hsd17b11,0.05021601962550039
eif4e,0.04749470633196125
fancd2,0.046179409414444456
nottingham_prognostic_index,0.04237294614935631
kit,0.04199775783750837
cdkn2c,0.04191443663767497
ar,0.040773226321569406
itgav,0.04067681056099155
jak1,0.03996294589638959
mmp10,0.03939060213534633
arid1a,0.038141647374200956
lama2,0.034036700138976105
notch3,0.03332653832868668
map4,0.03210665075946847
